Name,Category  , Packaging ,Recyclability ,Components Used,Carbon_Footprints,Water_Usage_Liters,Sustainability_Score,Sustainability_Level ,Sustainable_Alternative
Sheet Mask, Cosmetics, Plastic pouch, No, Cotton serum essence,50,12,55, Low, Compostable sheet mask
Body Lotion, Cosmetics, Plastic bottle, No, Water glycerin shea butter,39,10,68, Medium, Refillable glass bottle
Body Wash, Cosmetics, Plastic bottle, No, Water surfactant fragrance,40,9,67, Medium, Bar soap alternative
Shampoo, Cosmetics, Plastic bottle, No, Water surfactant fragrance,42,11,65, Medium, Shampoo bar
Conditioner, Cosmetics, Plastic bottle, No, Water silicone oils,41,10,66, Medium, Conditioner bar
Hair Serum, Cosmetics, Plastic bottle, No, Argan oil silicone,38,8,70, Medium, Glass bottle serum
Hair Oil, Cosmetics, Plastic bottle, No, Coconut oil almond oil,33,6,74, Medium, Glass refillable bottle
Hair Spray, Cosmetics, Plastic bottle, No, Water polymer fragrance,45,10,62, Medium, Refillable aluminum spray
Hair Gel, Cosmetics, Plastic jar, No, Water polymer fragrance,43,9,65, Medium, Biodegradable gel jar
Perfume, Cosmetics, Glass bottle, Yes, Alcohol water fragrance,30,8,81, High, Refillable perfume bottle
Deodorant, Cosmetics, Plastic bottle, No, Alcohol water fragrance,37,9,70, Medium, Paper tube deodorant
Body Mist, Cosmetics, Plastic bottle, No, Water alcohol fragrance,39,8,68, Medium, Glass spray mist
Body Scrub, Cosmetics, Plastic jar, No, Sugar salt oils,35,7,71, Medium, Refillable glass jar
Hand Cream, Cosmetics, Plastic tube, No, Shea butter glycerin aloe,33,6,74, Medium, Metal tube hand cream
Foot Cream, Cosmetics, Plastic tube, No, Shea butter menthol aloe,34,6,73, Medium, Metal tube foot cream
Potato chips, Food, Plastic pouch, No, Potato salt oil,30,8,75, Medium, Baked potato crisps
Banana chips, Food, Plastic pouch, No, Banana salt coconut oil,28,7,77, Medium, Dried banana wafers
Nachos, Food, Plastic pouch, No, Corn flour oil seasoning,32,9,72, Medium, Oven baked nachos
Popcorn, Food, Paper pouch, Yes, Corn oil salt butter,25,6,80, High, Air popped popcorn
Masala peanuts, Food, Plastic pouch, No, Peanut gram flour spice mix,27,7,78, Medium, Roasted masala peanuts
Roasted chana, Food, Plastic pouch, No, Bengal gram salt spice,22,5,84, High, Protein roasted chana
Trail mix, Food, Plastic pouch, No, Almond cashew raisin cranberry,26,6,82, High, Energy trail mix
Corn puffs, Food, Plastic pouch, No, Cornmeal oil seasoning,33,9,70, Medium, Baked corn curls
Cheese balls, Food, Plastic pouch, No, Corn flour cheese powder oil,35,10,68, Medium, Crunchy cheese balls
Khakhra, Food, Paper pouch, Yes, Wheat flour oil spices,20,5,85, High, Whole wheat khakhra
Bhujia, Food, Plastic pouch, No, Gram flour oil spices,28,8,74, Medium, Baked bhujia mix
Sev, Food, Plastic pouch, No, Gram flour oil salt,27,7,75, Medium, Thin sev snack
Murukku, Food, Plastic pouch, No, Rice flour urad flour spices,30,8,72, Medium, South Indian murukku
Chakli, Food, Plastic pouch, No, Rice flour wheat flour sesame,29,8,73, Medium, Multigrain chakli
Samosa (frozen), Food, Plastic box, No, Wheat flour potato peas spices,34,10,70, Medium, Baked samosa
Spring rolls (frozen), Food, Plastic box, No, Wheat sheet cabbage carrot oil,36,10,68, Medium, Air fried spring rolls
French fries (frozen), Food, Plastic bag, No, Potato salt oil,30,9,74, Medium, Baked potato fries
Onion rings (frozen), Food, Plastic bag, No, Onion flour oil batter,33,9,71, Medium, Air fried onion rings
Chicken nuggets (frozen), Food, Plastic bag, No, Chicken flour breadcrumbs oil,38,12,65, Medium, Plant protein nuggets
Fish fingers (frozen), Food, Plastic bag, No, Fish flour breadcrumbs oil,40,13,62, Medium, Baked fish sticks
Veg biryani, Food, Plastic tray, No, Rice vegetables spices oil,34,9,70, Medium, Compostable bowl biryani
Dal makhani, Food, Plastic bowl, No, Black lentil butter cream tomato,32,9,72, Medium, Reusable glass jar dal
Rajma chawal, Food, Plastic tray, No, Kidney beans rice tomato spices,30,8,75, Medium, Compostable pack rajma
Pindi chana, Food, Plastic pouch, No, Chickpeas tomato spices oil,28,8,77, Medium, Canned chickpea curry
Palak paneer, Food, Plastic pouch, No, Spinach paneer tomato spices,30,9,74, Medium, Glass jar curry
Paneer butter masala, Food, Plastic pouch, No, Paneer butter tomato cream,32,10,72, Medium, Compostable curry pack
Chole, Food, Plastic pouch, No, Chickpeas onion tomato spices,28,8,78, Medium, Glass jar curry
Upma, Food, Plastic cup, No, Rava vegetables oil spices,22,6,83, High, Paper cup upma
Poha, Food, Plastic cup, No, Flattened rice onion spices,23,6,82, High, Paper cup poha
Idli sambar, Food, Plastic tray, No, Rice lentil sambar spices,26,7,80, High, Compostable idli meal
Masala dosa, Food, Plastic tray, No, Rice lentil potato masala,28,8,78, Medium, Paper wrap dosa
Pav bhaji, Food, Plastic bowl, No, Bread butter tomato peas,30,9,74, Medium, Compostable pav bhaji bowl
Thai curry rice, Food, Plastic box, No, Rice coconut curry vegetables,35,10,70, Medium, Bamboo container meal
Pasta (mac & cheese), Food, Plastic cup, No, Pasta cheese milk butter,30,9,74, Medium, Paper cup pasta
Noodles (instant), Food, Plastic cup, No, Noodles masala oil,28,8,76, Medium, Paper bowl noodles
Ramen, Food, Plastic cup, No, Wheat noodles broth spice,30,9,74, Medium, Cup ramen paper pack
Hakka noodles, Food, Plastic tray, No, Noodles soy sauce vegetables,32,9,73, Medium, Compostable noodle box
Fried rice, Food, Plastic tray, No, Rice oil soy sauce vegetables,33,9,72, Medium, Compostable rice box
Manchurian, Food, Plastic box, No, Veg balls soy sauce chili,35,10,70, Medium, Eco friendly bowl
Kathi rolls, Food, Paper wrap, Yes, Wheat roti vegetable paneer,25,7,80, High, Compostable wrap
Baked beans, Food, Tin can, Yes, Beans tomato sugar salt,22,6,83, High, Glass jar beans
Sweet corn, Food, Tin can, Yes, Corn water salt,20,5,85, High, Fresh packed corn
Mushrooms, Food, Tin can, Yes, Mushroom water salt,21,5,84, High, Fresh packed mushroom
Olives, Food, Glass jar, Yes, Olives brine salt,18,4,88, High, Organic olive jar
Jalape̱os, Food, Glass jar, Yes, Jalapeno vinegar salt,19,5,86, High, Organic jalapeno jar
Pickles (mango), Food, Glass jar, Yes, Mango oil salt spices,26,8,79, Medium, Organic pickle jar
Jam (strawberry), Food, Glass jar, Yes, Strawberry sugar pectin,20,6,84, High, Refillable jam jar
Honey, Food, Glass jar, Yes, Honey natural enzyme,15,4,91, Very High, Glass honey jar
Peanut butter, Food, Plastic jar, No, Peanut salt sugar,25,7,80, High, Glass peanut butter jar
Nutella, Food, Plastic jar, No, Cocoa hazelnut sugar milk,28,9,75, Medium, Glass chocolate spread jar
Tomato puree, Food, Tin can, Yes, Tomato salt preservative,20,6,83, High, Glass bottle puree
Pasta sauce, Food, Glass jar, Yes, Tomato basil olive oil,22,6,82, High, Refillable sauce jar
Pizza sauce, Food, Glass jar, Yes, Tomato herbs oil,22,6,83, High, Compostable jar
Coconut milk, Food, Tin can, Yes, Coconut extract water,24,7,81, High, Paper carton coconut milk
Condensed milk, Food, Tin can, Yes, Milk sugar,23,6,82, High, Paper pack condensed milk
Evaporated milk, Food, Tin can, Yes, Milk sugar,23,6,82, High, Paper pack milk
Fruit cocktail, Food, Tin can, Yes, Fruits syrup sugar,24,6,82, High, Glass jar fruit mix
Pineapple slices, Food, Tin can, Yes, Pineapple syrup sugar,25,6,80, High, Glass jar pineapple
Ghee, Food, Tin can, Yes, Butter fat milk solid,20,5,86, High, Glass ghee jar
Fruit juices (tetra pack), Food, Tetra pack, Yes, Fruit pulp water sugar,28,7,77, Medium, Recyclable carton juice
Coconut water, Food, Tetra pack, Yes, Coconut water,18,4,89, High, Paper carton coconut water
Buttermilk, Food, Plastic bottle, No, Curd water salt,22,6,82, High, Paper bottle buttermilk
Lassi, Food, Plastic bottle, No, Curd sugar cardamom,24,6,80, High, Paper bottle lassi
Cold coffee, Food, Plastic bottle, No, Coffee milk sugar,26,7,78, Medium, Glass cold coffee
Iced tea, Food, Plastic bottle, No, Tea extract sugar lemon,26,7,78, Medium, Glass iced tea
Energy drinks, Food, Aluminum can, Yes, Caffeine sugar flavor,28,8,76, Medium, Paper energy drink
Sports drinks, Food, Plastic bottle, No, Electrolyte sugar water,28,8,77, Medium, Paper sports drink
Kombucha, Food, Glass bottle, Yes, Tea culture sugar,20,5,85, High, Refillable kombucha bottle
Flavored milk, Food, Plastic bottle, No, Milk sugar cocoa,25,7,80, High, Paper milk carton
Milkshakes, Food, Plastic bottle, No, Milk flavor sugar,26,8,78, Medium, Recyclable glass bottle
Smoothies, Food, Plastic bottle, No, Fruit pulp yogurt honey,24,7,81, High, Compostable smoothie cup
Soy milk, Food, Tetra pack, Yes, Soybean water sugar,20,6,84, High, Paper pack soy milk
Almond milk, Food, Tetra pack, Yes, Almond water sugar,20,6,85, High, Paper pack almond milk
Protein shakes, Food, Plastic bottle, No, Milk protein cocoa sugar,30,9,73, Medium, Compostable protein shake bottle
Bottled water, Food, Plastic bottle, No, Water mineral,18,4,90, High, Refillable metal bottle
Sparkling water, Food, Glass bottle, Yes, Carbonated water minerals,15,4,92, Very High, Refillable glass bottle
Soda, Food, Aluminum can, Yes, Carbonated water sugar,20,6,85, High, Glass soda bottle
Tonic water, Food, Aluminum can, Yes, Carbonated water quinine sugar,22,6,82, High, Glass tonic bottle
Canned cocktails, Food, Aluminum can, Yes, Alcohol fruit flavor sugar,25,7,80, High, Refillable cocktail bottle
Bread, Food, Plastic pouch, No, Wheat yeast salt sugar,22,6,83, High, Paper bread bag
Buns, Food, Plastic pouch, No, Wheat yeast butter sugar,23,6,82, High, Paper bun pack
Croissants, Food, Plastic pouch, No, Wheat butter sugar,24,6,80, High, Paper croissant pack
Muffins, Food, Plastic pack, No, Wheat egg sugar butter,25,7,78, Medium, Paper muffin cup
Cupcakes, Food, Plastic pack, No, Wheat egg sugar cream,26,7,78, Medium, Paper cupcake pack
Cookies, Food, Plastic pack, No, Wheat butter sugar chocolate,27,8,76, Medium, Paper cookie bag
Biscuits, Food, Plastic pack, No, Wheat flour oil sugar,25,7,79, Medium, Paper biscuit pack
Rusk, Food, Plastic pack, No, Wheat sugar butter yeast,26,8,78, Medium, Paper rusk pack
Cake slices, Food, Plastic pack, No, Wheat egg sugar butter,28,9,74, Medium, Paper cake slice
Granola bars, Food, Plastic wrap, No, Oats honey nuts fruit,24,6,82, High, Paper granola wrap
Muesli, Food, Plastic pouch, No, Oats nuts raisins honey,23,6,83, High, Compostable pack
Cornflakes, Food, Plastic pouch, No, Corn sugar salt,22,5,85, High, Paper cereal box
Choco flakes, Food, Plastic pouch, No, Corn cocoa sugar,23,6,83, High, Paper cereal box
Oats, Food, Plastic pouch, No, Oats grain fiber,20,5,86, High, Compostable oats pack
Instant porridge, Food, Plastic cup, No, Oats milk sugar fruit,24,6,81, High, Paper cup porridge
Pancake mix, Food, Plastic pouch, No, Wheat sugar baking powder,25,7,79, Medium, Paper pancake mix
Waffle mix, Food, Plastic pouch, No, Wheat sugar butter milk,26,8,78, Medium, Paper waffle mix
Breadsticks, Food, Plastic pouch, No, Wheat oil salt,22,5,84, High, Paper breadstick pack
Doughnuts, Food, Plastic box, No, Wheat sugar oil chocolate,30,9,74, Medium, Paper doughnut box
Bagels, Food, Plastic pouch, No, Wheat yeast salt,24,6,80, High, Paper bagel pack
Cheese slices, Foods, Plastic pack, No, Milk enzymes salt,72,240,55, Medium, Paper wrap cheese slice  
Cheese cubes, Foods, Plastic tray, No, Milk enzymes salt,70,230,56, Medium, Compostable cheese cube pack  
Cream cheese, Foods, Plastic tub, No, Milk cream salt,68,220,58, Medium, Glass jar cream cheese  
Paneer, Foods, Plastic pouch, No, Milk lemon water,65,210,60, Medium, Fresh paneer wrap  
Yogurt (flavored), Foods, Plastic cup,No, Milk culture sugar,68,220,55,Medium, Glass jar yogurt  
Curd, Foods, Plastic pouch, No, Milk culture,60,200,62, Medium, Clay pot curd  
Ice cream, Foods, Paper cup, Yes, Milk sugar flavor,50,180,68, Medium, Compostable ice cream cup  
Frozen yogurt, Foods, Paper cup, Yes, Milk sugar flavor,48,170,70, High, Reusable frozen yogurt jar  
Kulfi, Foods, Plastic stick, No, Milk sugar flavor,65,220,58, Medium, Paper stick kulfi  
Butter, Foods, Paper wrap, Yes, Milk cream salt,45,180,72, High, Compostable butter wrap  
Milk powder, Foods, Paper pouch, Yes, Milk dried solids,48,190,70, High, Eco milk powder pack  
Whipping cream, Foods, Plastic bottle, No, Milk fat stabilizer,65,230,55, Medium, Glass jar cream  
Sour cream, Foods, Plastic tub, No, Milk culture cream,68,230,54, Medium, Recyclable glass tub  
Frozen peas, Foods, Plastic pouch, No, Peas water,60,200,62, Medium, Compostable pea pouch  
Frozen corn, Foods, Plastic pouch, No, Corn water,58,190,64, Medium, Compostable corn pouch  
Mixed vegetables (frozen), Foods, Plastic pouch, No, Carrot beans peas,62,210,60, Medium, Compostable veggie pack  
Frozen berries, Foods, Plastic pouch, No, Berries sugar water,64,220,58, Medium, Paper pack frozen berries  
Frozen paratha, Foods, Plastic pouch, No, Wheat flour oil salt,70,240,55, Medium, Paper wrap paratha  
Frozen chapati, Foods, Plastic pouch, No, Wheat flour oil salt,70,230,55, Medium, Compostable chapati wrap  
Ketchup, Foods, Plastic bottle, No, Tomato sugar vinegar,68,230,56, Medium, Glass bottle ketchup  
Mayonnaise, Foods, Plastic bottle, No, Egg oil vinegar,72,250,54, Medium, Glass bottle mayo  
Mustard, Foods, Glass jar, Yes, Mustard seeds vinegar salt,45,180,70, High, Refillable mustard jar  
Soy sauce, Foods, Glass bottle, Yes, Soybeans salt water,50,200,68, Medium, Refillable soy bottle  
Chili sauce, Foods, Glass bottle, Yes, Chili vinegar salt,52,210,66, Medium, Compostable chili sauce  
Green chutney, Foods, Plastic pouch, No, Coriander mint chili,68,220,55, Medium, Glass jar chutney  
Tamarind chutney, Foods, Plastic pouch, No, Tamarind jaggery salt,70,230,53, Medium, Glass jar chutney  
Schezwan sauce, Foods, Glass bottle, Yes, Chili garlic soy oil,54,210,65, Medium, Compostable bottle  
Barbecue sauce, Foods, Glass bottle, Yes, Tomato molasses vinegar,56,220,63, Medium, Glass bottle BBQ sauce  
Salad dressing, Foods, Glass bottle, Yes, Oil vinegar herbs,50,200,68, Medium, Refillable dressing bottle  
Vinegar, Foods, Glass bottle, Yes, Acetic acid water,48,190,70, High, Refillable vinegar bottle  
Hot sauce, Foods, Glass bottle, Yes, Chili vinegar salt,50,200,68, Medium, Compostable sauce bottle  
Garlic paste, Foods, Plastic pouch, No, Garlic oil salt,68,230,55, Medium, Glass jar garlic paste  
Ginger paste, Foods, Plastic pouch, No, Ginger oil salt,68,230,55, Medium, Glass jar ginger paste  
Mixed spice blends, Foods, Paper pouch, Yes, Spices herbs salt,45,180,70, High, Compostable spice pack  
Curry paste, Foods, Glass jar, Yes, Spices oil onion garlic,48,190,68, Medium, Refillable curry paste jar  
Tandoori marinade, Foods, Glass jar, Yes, Yogurt spices lemon,50,200,68, Medium, Glass jar tandoori  
Pasta seasoning, Foods, Paper pouch, Yes, Herbs salt chili,42,170,72, High, Compostable seasoning pouch  
Pizza seasoning, Foods, Paper pouch, Yes, Oregano chili salt,42,170,72, High, Compostable seasoning pouch  
Sandwich spread, Foods, Plastic bottle, No, Oil egg salt flavor,68,220,55, Medium, Glass jar spread
Smartphones, Electronics, Box, Yes, Screen Battery Chipset Camera Module Casing,75,28,78, High, Refurbished smartphones
Feature phones, Electronics, Box, Yes, Screen Battery Chipset Buttons Casing,60,20,62, Medium, Recycled plastic body phones
Smartwatches, Electronics, Box, Partially, Display Strap Sensor Battery Casing,68,18,65, Medium, Solar-powered smartwatch
Fitness bands, Electronics, Box, Partially, Display Strap Sensor Battery,66,16,63, Medium, Biodegradable strap fitness band
Wireless earbuds, Electronics, Box, No, Battery Drivers Plastic Case Chipset,58,14,55, Medium, Recyclable earbuds
Wired earphones, Electronics, Plastic wrap, Yes, Wire Jack Drivers Plastic Casing,52,12,57, Medium, Metal body earphones
Bluetooth headphones, Electronics, Box, Partially, Battery Drivers Chipset Foam Cushion,64,22,60, Medium, Headphones with recycled aluminum
Neckband headphones, Electronics, Box, Partially, Battery Neckband Wire Chipset,62,19,59, Medium, Bioplastic neckband headphones
Smart rings, Electronics, Box, Partially, Sensor Battery Chipset Shell,72,10,70, High, Smart ring with recycled titanium
VR headsets, Electronics, Box, No, Lenses Display Straps Chipset Plastic,55,25,58, Medium, VR headsets made with recycled plastic
AR glasses, Electronics, Box, No, Lenses Display Frame Chipset Battery,70,20,68, High, Eco-friendly AR glasses
Screen protectors, Electronics, Plastic cover, Yes, Glass Film Adhesive Layer,40,5,75, High, Biodegradable screen protector
Phone cases, Electronics, Plastic wrap, Yes, Silicone Rubber Plastic Shell,45,8,72, High, Bamboo or biodegradable phone case
Power banks, Electronics, Box, No, Battery Circuit Board Plastic Case,60,18,58, Medium, Solar-powered power bank
Charging cables, Electronics, Plastic wrap, Yes, Copper Wire Rubber Coating Connector,48,6,65, Medium, Recycled nylon braided cables
Wall chargers, Electronics, Box, Yes, Plug Circuit Board Plastic Case,55,10,63, Medium, Energy-efficient chargers
Car chargers, Electronics, Box, Yes, Plug Adapter Circuit Plastic Body,54,12,62, Medium, Solar-powered car charger
Mobile holders, Electronics, Plastic wrap, Yes, Clamp Spring Plastic Base,42,4,70, High, Bamboo or recycled metal holder
SIM card kits, Electronics, Plastic cover, Yes, SIM Card Tray Plastic Shell,38,2,73, High, eSIM technology
OTG adapters, Electronics, Plastic wrap, Yes, Connector Chip Metal Casing,46,5,68, Medium, Recycled metal adapters
Dining chair, Furniture, Cardboard, Yes, Wood Screws Cushion Fabric,35,25,68, Medium, Bamboo chair
Armchair, Furniture, Plastic, No, Wood Foam Fabric Screws,45,40,72, High, Bamboo armchair
Lounge chair, Furniture, Fabric, Yes, Wood Foam Upholstery Nails,50,55,74, High, Rattan lounge chair
Rocking chair, Furniture, Wood, Yes, Wood Hinges Screws Cushion,42,35,70, High, Bamboo rocking chair
Office chair, Furniture, Plastic, No, Metal Base Wheels Foam Mesh,60,40,58, Medium, Recycled plastic chair
Gaming chair, Furniture, PU leather, No, Metal Frame Cushion Wheels Bolts,75,50,45, Low, Fabric eco chair
Bar stool, Furniture, Metal, Yes, Steel Seat Screws Rubber Caps,30,25,66, Medium, Bamboo stool
Folding chair, Furniture, Metal, Yes, Aluminum Hinges Screws Cushion,28,20,69, Medium, Recycled plastic folding chair
Bean bag, Furniture, Fabric, No, Foam Beads Zipper Cover,70,80,48, Low, Cotton bean bag
Recliner, Furniture, Leather, No, Metal Frame Motor Foam Cushion,85,60,35, Low, Fabric recliner
Sofa (2-seater 3-seater), Furniture, Fabric,yes, Wood Foam Springs Fabric,65,75,55,Medium, Rattan sofa
Sectional sofa, Furniture, Leather, No, Wood Foam Metal Connectors,80,85,38, Low, Recycled fabric sectional
Sofa bed, Furniture, Fabric, Yes, Wood Frame Cushion Springs,55,60,62, Medium, Bamboo frame sofa bed
Ottoman, Furniture, Fabric, Yes, Wood Foam Fabric Buttons,40,35,64, Medium, Woven ottoman
Pouffe, Furniture, Fabric, Yes, Cotton Yarn Filling Stitching,32,30,68, Medium, Jute pouffe
Single bed, Furniture, Wood, Yes, Wood Screws Nails Headboard,45,40,72, High, Bamboo bed
Double bed, Furniture, Wood, Yes, Wood Frame Bolts Slats,50,45,70, High, Rattan double bed
Queen bed, Furniture, Wood, Yes, Wood Screws Bolts Headboard,55,50,74, High, Bamboo queen bed
King bed, Furniture, Wood, Yes, Wood Frame Screws Support Beam,60,55,76, High, Reclaimed wood king bed
Bunk bed, Furniture, Metal, Yes, Steel Bolts Ladder Guardrail,52,40,68, Medium, Wooden bunk bed
Trundle bed, Furniture, Wood, Yes, Wood Frame Rollers Screws,58,48,70, High, Bamboo trundle bed
Daybed, Furniture, Wood, Yes, Wood Cushion Slats Screws,50,42,72, High, Rattan daybed
Bedside table, Furniture, Wood, Yes, Wood Drawer Handle Nails,28,20,71, High, Bamboo table
Nightstand, Furniture, Wood, Yes, Wood Drawer Screws Handle,26,18,70, High, Bamboo nightstand
Dressing table, Furniture, Wood, Yes, Wood Mirror Drawer Handle,38,30,69, Medium, Bamboo dressing table
Wardrobe (2-door 3-door), Furniture,Wood,yes, Wood Hinges Rods Shelves,75,60,65,Medium, Reclaimed wood wardrobe
Chest of drawers, Furniture, Wood, Yes, Wood Drawer Handle Screws,48,35,67, Medium, Bamboo drawers
Vanity unit, Furniture, Wood, Yes, Wood Mirror Drawer Handle,50,38,70, High, Recycled wood vanity
Headboard, Furniture, Fabric, Yes, Wood Foam Fabric Stitching,32,25,66, Medium, Bamboo frame headboard
Mattress (foam-spring), Furniture, Foam,No, Latex Foam Fabric Spring,85,100,40,Low, Organic cotton mattress
Bookshelf, Furniture, Wood, Yes, Wood Planks Screws Nails,40,30,70, High, Bamboo bookshelf
Display cabinet, Furniture, Glass, Yes, Wood Glass Hinges Handles,60,40,65, Medium, Recycled glass cabinet
Shoe rack, Furniture, Wood, Yes, Wood Screws Shelves Hinges,35,28,68, Medium, Bamboo shoe rack
Storage bench, Furniture, Wood, Yes, Wood Hinges Cushion Screws,42,35,70, High, Rattan storage bench
Storage ottoman, Furniture, Fabric, Yes, Wood Foam Fabric Hinges,38,32,67, Medium, Jute storage ottoman
TV unit, Furniture, Wood, Yes, Wood Shelves Hinges Screws,45,38,72, High, Reclaimed wood TV unit
Media console, Furniture, Wood, Yes, Wood Hinges Shelves Screws,50,42,70, High, Bamboo media console
Sideboard, Furniture, Wood, Yes, Wood Shelves Drawers Hinges,48,40,71, High, Bamboo sideboard
Buffet cabinet, Furniture, Wood, Yes, Wood Hinges Handles Shelves,55,45,73, High, Recycled wood buffet
Kitchen cabinet, Furniture, Wood, Yes, Wood Hinges Shelves Handles,60,50,65, Medium, Bamboo kitchen cabinet
Pantry unit, Furniture, Wood, Yes, Wood Shelves Hinges Screws,58,48,67, Medium, Bamboo pantry unit
Wall shelf, Furniture, Wood, Yes, Wood Screws Brackets Anchors,22,18,74, High, Bamboo shelf
Corner shelf, Furniture, Wood, Yes, Wood Brackets Screws Nails,25,20,70, High, Rattan shelf
Floating shelf, Furniture, Wood, Yes, Wood Brackets Screws Glue,20,15,72, High, Bamboo floating shelf
Storage cube organizer, Furniture, Plastic, No, Plastic Panels Connectors Screws,45,30,50, Low, Cardboard organizer
Dining table, Furniture, Wood, Yes, Wood Screws Nails Legs,60,55,72, High, Bamboo dining table
Coffee table, Furniture, Wood, Yes, Wood Legs Screws Top,45,35,70, High, Reclaimed wood table
Console table, Furniture, Wood, Yes, Wood Legs Screws Top,42,30,68, Medium, Bamboo console table
Side table, Furniture, Wood, Yes, Wood Screws Legs Nails,38,28,70, High, Bamboo side table
Nesting tables, Furniture, Wood, Yes, Wood Screws Nails Legs,36,25,72, High, Bamboo nesting tables
Study desk, Furniture, Wood, Yes, Wood Screws Hinges Drawer,48,40,70, High, Bamboo desk
Writing desk, Furniture, Wood, Yes, Wood Screws Nails Legs,46,38,69, Medium, Bamboo writing desk
Computer desk, Furniture, Wood, Yes, Wood Hinges Screws Drawer,50,42,70, High, Bamboo computer desk
Laptop table, Furniture, Wood, Yes, Wood Hinges Screws Legs,32,25,72, High, Bamboo laptop table
Foldable table, Furniture, Metal, Yes, Aluminum Hinges Screws Locks,28,20,68, Medium, Recycled metal table
Workbench, Furniture, Metal, Yes, Steel Screws Nuts Surface,55,45,65, Medium, Wooden workbench
Craft table, Furniture, Wood, Yes, Wood Screws Hinges Drawer,42,35,70, High, Bamboo craft table
Patio chair, Furniture, Metal, Yes, Aluminum Screws Frame Mesh,30,25,67, Medium, Rattan patio chair
Patio table, Furniture, Metal, Yes, Aluminum Screws Top Legs,32,28,68, Medium, Bamboo patio table
Garden bench, Furniture, Wood, Yes, Wood Screws Slats Frame,50,40,70, High, Bamboo garden bench
Swing chair, Furniture, Metal, Yes, Steel Chains Hooks Frame,48,38,65, Medium, Rattan swing chair
