Name,Category,Packaging,Recyclability,Components Used,Carbon_Footprints,Water_Usage_Liters,Sustainability_Score,Sustainability_Level,Sustainable_Alternative
LED TV,Electronics,Rigid cardboard box,Yes,Contains steel and colorants,0.6369606582442728,29,100,High,Adopt bamboo-based packaging that is compostable and renewable.
Perfume,Cosmetics,Plastic bottle (HDPE),Yes,Contains glass and eco resin,1.8978548416158507,109,64.922,Medium,Switch to recycled metal containers with minimal processing waste.
Cereal Box,Food,Laminated foil pouch,Yes,Contains hemp and minor additives,0.7648721423213589,61,68.079,Medium,Use recycled glass containers that are reusable and easily recyclable.
Chips,Food,Laminated foil pouch,Yes,Contains bioplastic and colorants,2.777884392069298,108,60.477,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Bread Loaf,Food,Laminated foil pouch,Yes,Contains aluminium and colorants,1.4713528830914189,59,67.465,Medium,Use recycled glass containers that are reusable and easily recyclable.
Smartwatch,Electronics,Rigid cardboard box,No,Contains bioplastic and starch base,3.904967576247792,143,37.54,Low,Use eco-friendly packaging alternatives made from renewable materials.
Towel,Daily-use,Paper wrap,No,Contains organic cotton and adhesives,3.647682779748399,139,39.695,Low,Use eco-friendly packaging alternatives made from renewable materials.
Pen,Daily-use,Aluminum,Yes,Contains recycled wood and adhesives,8.56371743274674,206,50.121,Medium,Replace with recycled aluminum that saves 90% of energy during production.
Moisturizer,Cosmetics,Plastic bottle (HDPE),Yes,Contains bioplastic and binders,1.0497144667724865,65,72.547,Medium,Use recycled glass containers that are reusable and easily recyclable.
Notebook,Daily-use,Glass,Yes,Contains aluminium and adhesives,1.3092039272941065,64,95.179,High,Use recycled glass containers that are reusable and easily recyclable.
Detergent,Daily-use,Plastic bottle (HDPE),Yes,Contains hemp and minor additives,1.1407638717845137,65,73.4,Medium,Use recycled glass containers that are reusable and easily recyclable.
Pen,Daily-use,Plastic,No,Contains hemp and starch base,4.3237467742408615,151,27.713,Low,Use eco-friendly packaging alternatives made from renewable materials.
Notebook,Daily-use,Aluminum,Yes,Contains bioplastic and adhesives,2.3382417045476256,107,73.222,Medium,Switch to recycled metal containers with minimal processing waste.
Bed Frame,Furniture,Corrugated cardboard,Yes,Contains aluminium and starch base,4.462136039703127,125,87.178,High,Use uncoated recycled paper with eco-friendly printing inks.
Soap,Cosmetics,Plastic bottle (HDPE),Yes,Contains bamboo and binders,1.4338183916388043,60,74.28,Medium,Use recycled glass containers that are reusable and easily recyclable.
Headphones,Electronics,Rigid cardboard box,Yes,Contains recycled wood and eco resin,1.3656020975345595,62,100,High,Use recycled glass containers that are reusable and easily recyclable.
Headphones,Electronics,Rigid cardboard box,Yes,Contains hemp and binders,8.845616730645219,208,65.57,Medium,Replace with recycled aluminum that saves 90% of energy during production.
Water Bottle,Daily-use,Paper wrap,Yes,Contains organic cotton and adhesives,0.8468909277578215,48,96.659,High,Use uncoated recycled paper with eco-friendly printing inks.
Laptop,Electronics,Rigid cardboard box,Yes,Contains hemp and adhesives,8.694161863117088,203,65.017,Medium,Replace with recycled aluminum that saves 90% of energy during production.
Tablet,Electronics,Rigid cardboard box,Yes,Contains bioplastic and colorants,2.5861333509173594,129,91.18,High,Use eco-friendly packaging alternatives made from renewable materials.
Lipstick,Cosmetics,Plastic bottle (HDPE),Yes,Contains steel and starch base,0.8391241118663652,57,70.907,Medium,Use recycled glass containers that are reusable and easily recyclable.
Bread Loaf,Food,Laminated foil pouch,Yes,Contains hemp and adhesives,1.9061165980678565,101,59.506,Medium,Switch to recycled metal containers with minimal processing waste.
Water Bottle,Daily-use,Aluminum,Yes,Contains steel and eco resin,8.984727722400374,197,49.326,Low,Replace with recycled aluminum that saves 90% of energy during production.
Moisturizer,Cosmetics,Plastic bottle (HDPE),Yes,Contains organic cotton and eco resin,8.915473707676501,208,46.241,Low,Replace with recycled aluminum that saves 90% of energy during production.
Moisturizer,Cosmetics,Plastic bottle (HDPE),Yes,Contains bamboo and adhesives,1.5836393766575148,106,67.209,Medium,Switch to recycled metal containers with minimal processing waste.
Yogurt Cup,Food,Laminated foil pouch,Yes,Contains glass and starch base,9.424840222211303,200,39.561,Low,Replace with recycled aluminum that saves 90% of energy during production.
Bread Loaf,Food,Laminated foil pouch,Yes,Contains recycled wood and adhesives,2.192001231992843,96,61.569,Medium,Switch to recycled metal containers with minimal processing waste.
Soap,Cosmetics,Plastic bottle (HDPE),Yes,Contains steel and eco resin,0.7952968096384716,56,72.411,Medium,Use recycled glass containers that are reusable and easily recyclable.
Smartphone,Electronics,Rigid cardboard box,Yes,Contains recycled wood and eco resin,0.200510718221674,27,100,High,Adopt bamboo-based packaging that is compostable and renewable.
LED TV,Electronics,Rigid cardboard box,Yes,Contains organic cotton and binders,0.2961674817010167,29,100,High,Adopt bamboo-based packaging that is compostable and renewable.
Nail Polish,Cosmetics,Plastic bottle (HDPE),No,Contains aluminium and minor additives,6.355295198225206,182,21.412,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Sofa,Furniture,Corrugated cardboard,No,Contains steel and binders,5.482861587685309,191,50.368,Medium,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Water Bottle,Daily-use,Plastic bottle (HDPE),No,Contains bioplastic and eco resin,6.318838532015824,174,21.357,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
LED TV,Electronics,Rigid cardboard box,No,Contains bamboo and minor additives,3.822124918421542,160,35.781,Low,Use eco-friendly packaging alternatives made from renewable materials.
Pasta,Food,Laminated foil pouch,Yes,Contains hemp and colorants,2.593487841232288,129,58.61,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Candle,Daily-use,Plastic,Yes,Contains bamboo and eco resin,2.3708074305843003,115,59.1,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Refrigerator,Electronics,Rigid cardboard box,No,Contains hemp and eco resin,4.26574701542298,157,35.185,Low,Use eco-friendly packaging alternatives made from renewable materials.
Air Conditioner,Electronics,Plastic bottle (HDPE),No,Contains bamboo and colorants,4.310801131356199,138,27.051,Low,Use eco-friendly packaging alternatives made from renewable materials.
Juice Bottle,Food,Laminated foil pouch,Yes,Contains steel and minor additives,2.499902121879534,100,58.555,Medium,Switch to recycled metal containers with minimal processing waste.
Sofa,Furniture,Corrugated cardboard,No,Contains organic cotton and adhesives,4.563317358613739,199,48.122,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Smartphone,Electronics,Rigid cardboard box,No,Contains recycled wood and adhesives,4.036891191802079,162,41.277,Low,Use eco-friendly packaging alternatives made from renewable materials.
Moisturizer,Cosmetics,Plastic bottle (HDPE),Yes,Contains bamboo and binders,0.697372360860773,49,74.661,Medium,Use uncoated recycled paper with eco-friendly printing inks.
Headphones,Electronics,Rigid cardboard box,No,Contains steel and starch base,6.173756818931768,180,28.236,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Chips,Food,Laminated foil pouch,Yes,Contains organic cotton and eco resin,0.972186517298709,61,67.079,Medium,Use recycled glass containers that are reusable and easily recyclable.
Soap,Cosmetics,Plastic bottle (HDPE),Yes,Contains recycled wood and adhesives,1.4067405412017249,54,70.533,Medium,Use recycled glass containers that are reusable and easily recyclable.
Headphones,Electronics,Rigid cardboard box,No,Contains glass and adhesives,6.032738580227818,173,28.871,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Pasta,Food,Laminated foil pouch,Yes,Contains aluminium and colorants,0.0312175429923459,29,74.525,Medium,Adopt bamboo-based packaging that is compostable and renewable.
Soap,Cosmetics,Plastic bottle (HDPE),Yes,Contains glass and minor additives,1.184379501608913,58,71.459,Medium,Use recycled glass containers that are reusable and easily recyclable.
Moisturizer,Cosmetics,Plastic bottle (HDPE),Yes,Contains bamboo and eco resin,0.0617667592642478,27,79.78,High,Adopt bamboo-based packaging that is compostable and renewable.
Umbrella,Daily-use,Plastic bottle (HDPE),No,Contains bamboo and starch base,6.315155594945952,175,21.314,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Yogurt Cup,Food,Laminated foil pouch,Yes,Contains glass and binders,0.7514323510407918,45,68.647,Medium,Use uncoated recycled paper with eco-friendly printing inks.
Smartwatch,Electronics,Rigid cardboard box,Yes,Contains bioplastic and minor additives,1.19366563817124,52,100,High,Use uncoated recycled paper with eco-friendly printing inks.
Sofa,Furniture,Corrugated cardboard,No,Contains aluminium and colorants,5.266199117721813,204,52.033,Medium,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Refrigerator,Electronics,Rigid cardboard box,Yes,Contains organic cotton and minor additives,1.4716837545267594,60,100,High,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Nail Polish,Cosmetics,Plastic bottle (HDPE),Yes,Contains hemp and binders,0.4798554214029772,31,77.945,High,Adopt bamboo-based packaging that is compostable and renewable.
Chips,Food,Laminated foil pouch,Yes,Contains glass and starch base,1.8139726919814807,107,60.389,Medium,Switch to recycled metal containers with minimal processing waste.
Water Bottle,Daily-use,Bamboo,Yes,Contains hemp and colorants,0.1557854238755644,32,100,High,Adopt bamboo-based packaging that is compostable and renewable.
Detergent,Daily-use,Plastic bottle (HDPE),No,Contains organic cotton and starch base,6.3731125870318,176,21.897,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Bread Loaf,Food,Laminated foil pouch,Yes,Contains glass and starch base,2.154202810711098,99,58.416,Medium,Switch to recycled metal containers with minimal processing waste.
Face Cream,Cosmetics,Plastic bottle (HDPE),Yes,Contains recycled wood and eco resin,0.9526997960637482,45,76.606,High,Use uncoated recycled paper with eco-friendly printing inks.
Juice Bottle,Food,Laminated foil pouch,Yes,Contains hemp and eco resin,2.230729938045912,92,60.232,Medium,Switch to recycled metal containers with minimal processing waste.
Toothbrush,Daily-use,Rigid cardboard box,Yes,Contains glass and binders,0.9027307492005784,55,100,High,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Sofa,Furniture,Corrugated cardboard,No,Contains recycled wood and minor additives,5.193503571416066,193,48.628,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
